## Microarray analysis of entry into quiescence (normalised data),,,,,,,,,,,,,,,,
## T: time after Nitrogen removal,,,,,,,,,,,,,,,,
## Expression ratio are normalised to time point zero and corrected for total RNA amount per cell ,,,,,,,,,,,,,,,,
Systematic.name,T0,T0.5,T1,T2,T3,T4,T6,T9,T12,T16,T20,T24,T48,T72,T96,T168
SPCC736.12c,1,0.8170118,0.43785524,0.31383964,0.28163493,0.17427061,0.20728342,0.13345352,0.15298404,0.13001195,0.1298346,0.11357352,0.1043571,0.09976676,0.1335673,0.06272842
SPAC27D7.02c,0.99999994,1.0518762,1.2419412,0.7313478,0.52805644,0.3370446,0.25600132,0.22683921,0.21289743,0.15907486,0.21359827,0.19363438,0.1426399,NA,0.14236389,0.14975436
SPAC57A7.08,1,1.3182265,1.4622774,1.1102388,0.67044073,0.45693624,0.41122934,0.3093108,0.30455577,0.3350767,0.32799408,0.34018782,0.3022365,0.24638826,0.20410351,0.15535723
SPAC4H3.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPAC57A7.06,1,0.29409122,0.32227734,0.37494248,0.28377002,0.18043928,0.21557926,0.19772896,0.17434138,0.1841152,0.22303243,0.22682637,0.2138411,0.18545914,0.16577975,0.14569417
SPAC57A7.05,1,1.5992427,2.009874,1.1209812,0.577912,0.47261187,0.30131876,0.25830197,0.2610746,0.3219511,0.23510002,0.30052215,0.31048176,0.24420631,0.23779322,0.17311026
SPAC17G6.11c,1,0.6843027,0.40911686,0.23515521,0.18283466,0.11169395,0.09722438,0.079968795,0.07383074,0.064043865,0.06799137,0.06511618,0.055114713,0.055046152,0.05058644,0.0409577
SPAC8F11.10c,1,0.9474689,0.69599545,0.8549836,0.45278051,0.34638417,0.25850525,0.18307745,0.16635025,0.16815591,0.1486152,0.13721558,0.078741126,0.073098354,0.057984006,0.027253622
SPAC1296.06,1,0.8993514,0.54901934,0.47276503,0.46299636,0.26854435,0.286053,0.22358502,0.1665614,0.17267132,0.1725212,0.15968315,0.17718527,0.12768355,0.16364127,0.13952845
SPBC3E7.04c,1,0.7848585,0.8849721,0.5952158,0.57075256,0.33326426,0.39895502,0.3422481,0.26869306,0.26726657,NA,0.24829555,0.23788193,0.2657451,0.23669414,0.22003798
SPAC1296.04,1,0.88928664,0.88372624,0.88740367,0.52984554,0.36375073,0.27490062,0.27518427,0.2719412,0.30688193,0.28382075,0.274197,0.20378698,0.22105724,0.18993172,0.12968363
SPAC1296.02,1,0.89499927,0.7534746,0.5203907,0.48546225,0.26527372,0.2012877,0.14926638,0.12493889,0.11325864,0.14551976,0.12972064,0.10471678,0.11082389,0.119595215,0.11718261
SPBC21C3.16c,1,0.84467924,0.7052307,0.4328835,0.25798205,0.17543072,0.12165331,0.0666562,0.086603485,0.08334448,0.08733039,0.09242166,0.054472946,0.048329685,0.039675847,0.027762596
SPAC19G12.07c,1,0.5514816,0.66509145,0.652946,0.6662907,0.39819208,0.43913892,0.38425,0.3185446,0.29854384,0.2930158,0.27836114,0.27603292,0.28839934,0.28458542,0.26892927
SPAC22E12.11c,1,0.91988015,1.0031624,0.511056,0.41338068,0.3364329,0.3004261,0.2685634,0.2503505,0.24450725,0.2383638,0.21588366,0.15591154,0.14544466,0.12527573,0.13045777
SPAC3A12.17c,0.99999994,1.0049894,0.81009924,0.646152,0.5463918,0.33281028,0.2793567,0.27704075,0.22812572,0.20256768,0.2782128,0.24916282,0.23174812,0.23996703,0.198815,0.20233846
